category_name,title,rating
Default,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5
Fantasy,Princess Between Worlds (Wide-Awake Princess #5),5
Fiction,Private Paris (Private #10),5
Fiction,Thirst,5
Fiction,"We Love You, Charlie Freeman",5
History,Sapiens: A Brief History of Humankind,5
Music,Rip it Up and Start Again,5
Nonfiction,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5
Nonfiction,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5
Philosophy,Sophie's World,5
